scenario,scenario_label,product,product_label,day,bucket,bucket_pnl,avg_position,avg_abs_position
baseline,Baseline,ASH_COATED_OSMIUM,ASH,-1,1,2538.0,32.8066132264529,32.8066132264529
baseline,Baseline,ASH_COATED_OSMIUM,ASH,-1,2,2200.0,47.82282282282282,47.82282282282282
baseline,Baseline,ASH_COATED_OSMIUM,ASH,-1,3,1939.0,59.328,59.328
baseline,Baseline,ASH_COATED_OSMIUM,ASH,-1,4,2766.0,48.69408224674022,48.69408224674022
baseline,Baseline,ASH_COATED_OSMIUM,ASH,-1,5,2487.0,40.382,40.382
baseline,Baseline,ASH_COATED_OSMIUM,ASH,-1,6,1641.0,43.48293172690763,43.48293172690763
baseline,Baseline,ASH_COATED_OSMIUM,ASH,-1,7,2424.0,58.022,58.022
baseline,Baseline,ASH_COATED_OSMIUM,ASH,-1,8,2066.0,46.62625250501002,46.62625250501002
baseline,Baseline,ASH_COATED_OSMIUM,ASH,-1,9,1957.0,29.225450901803608,29.225450901803608
baseline,Baseline,ASH_COATED_OSMIUM,ASH,-1,10,2149.0,-1.3483483483483483,9.118118118118119
baseline,Baseline,ASH_COATED_OSMIUM,ASH,0,1,2367.0,22.353059177532597,23.069207622868607
baseline,Baseline,ASH_COATED_OSMIUM,ASH,0,2,2328.0,10.669338677354709,11.428857715430862
baseline,Baseline,ASH_COATED_OSMIUM,ASH,0,3,2004.0,55.566566566566564,55.566566566566564
baseline,Baseline,ASH_COATED_OSMIUM,ASH,0,4,2321.0,15.513026052104209,15.633266533066132
baseline,Baseline,ASH_COATED_OSMIUM,ASH,0,5,2523.0,-1.142142142142142,14.185185185185185
baseline,Baseline,ASH_COATED_OSMIUM,ASH,0,6,2198.0,12.864729458917836,14.453907815631263
baseline,Baseline,ASH_COATED_OSMIUM,ASH,0,7,2015.0,6.824,11.176
baseline,Baseline,ASH_COATED_OSMIUM,ASH,0,8,2787.0,10.04112337011033,11.288866599799398
baseline,Baseline,ASH_COATED_OSMIUM,ASH,0,9,1952.0,6.85871743486974,12.339679358717435
baseline,Baseline,ASH_COATED_OSMIUM,ASH,0,10,2353.0,-5.174,10.144
baseline,Baseline,ASH_COATED_OSMIUM,ASH,1,1,1928.0,13.867336683417085,18.048241206030152
baseline,Baseline,ASH_COATED_OSMIUM,ASH,1,2,1890.0,28.309929789368105,28.309929789368105
baseline,Baseline,ASH_COATED_OSMIUM,ASH,1,3,2151.5,65.14242728184554,65.14242728184554
baseline,Baseline,ASH_COATED_OSMIUM,ASH,1,4,2595.5,27.9438877755511,27.955911823647295
baseline,Baseline,ASH_COATED_OSMIUM,ASH,1,5,2561.0,9.08817635270541,15.587174348697395
baseline,Baseline,ASH_COATED_OSMIUM,ASH,1,6,1859.0,12.724,17.662
baseline,Baseline,ASH_COATED_OSMIUM,ASH,1,7,1990.5,6.326653306613227,10.470941883767535
baseline,Baseline,ASH_COATED_OSMIUM,ASH,1,8,2494.5,8.738476953907815,16.475951903807616
baseline,Baseline,ASH_COATED_OSMIUM,ASH,1,9,1980.0,6.691,8.215
baseline,Baseline,ASH_COATED_OSMIUM,ASH,1,10,2368.0,0.7492477432296891,8.446339017051153
baseline,Baseline,INTARIAN_PEPPER_ROOT,PEPPER,-1,1,7697.0,72.80942828485456,72.80942828485456
baseline,Baseline,INTARIAN_PEPPER_ROOT,PEPPER,-1,2,7871.0,74.62788365095285,74.62788365095285
baseline,Baseline,INTARIAN_PEPPER_ROOT,PEPPER,-1,3,7786.0,70.781,70.781
baseline,Baseline,INTARIAN_PEPPER_ROOT,PEPPER,-1,4,8131.0,72.65195586760281,72.65195586760281
baseline,Baseline,INTARIAN_PEPPER_ROOT,PEPPER,-1,5,8392.0,74.03603603603604,74.03603603603604
baseline,Baseline,INTARIAN_PEPPER_ROOT,PEPPER,-1,6,8394.0,75.326,75.326
baseline,Baseline,INTARIAN_PEPPER_ROOT,PEPPER,-1,7,8160.0,70.71571571571572,70.71571571571572
baseline,Baseline,INTARIAN_PEPPER_ROOT,PEPPER,-1,8,8381.5,74.5935935935936,74.5935935935936
baseline,Baseline,INTARIAN_PEPPER_ROOT,PEPPER,-1,9,8088.5,74.118,74.118
baseline,Baseline,INTARIAN_PEPPER_ROOT,PEPPER,-1,10,8302.5,70.87987987987988,70.87987987987988
baseline,Baseline,INTARIAN_PEPPER_ROOT,PEPPER,0,1,7725.0,73.5250501002004,73.5250501002004
baseline,Baseline,INTARIAN_PEPPER_ROOT,PEPPER,0,2,7757.5,70.36472945891784,70.36472945891784
baseline,Baseline,INTARIAN_PEPPER_ROOT,PEPPER,0,3,7721.5,69.47595190380761,69.47595190380761
baseline,Baseline,INTARIAN_PEPPER_ROOT,PEPPER,0,4,8455.0,73.76776776776777,73.76776776776777
baseline,Baseline,INTARIAN_PEPPER_ROOT,PEPPER,0,5,8441.0,73.089,73.089
baseline,Baseline,INTARIAN_PEPPER_ROOT,PEPPER,0,6,7409.0,72.98895582329317,72.98895582329317
baseline,Baseline,INTARIAN_PEPPER_ROOT,PEPPER,0,7,8851.5,68.194,68.194
baseline,Baseline,INTARIAN_PEPPER_ROOT,PEPPER,0,8,8170.5,71.28256513026052,71.28256513026052
baseline,Baseline,INTARIAN_PEPPER_ROOT,PEPPER,0,9,8512.0,73.546,73.546
baseline,Baseline,INTARIAN_PEPPER_ROOT,PEPPER,0,10,7979.0,67.62512562814071,67.62512562814071
baseline,Baseline,INTARIAN_PEPPER_ROOT,PEPPER,1,1,7239.0,65.65195586760281,65.65195586760281
baseline,Baseline,INTARIAN_PEPPER_ROOT,PEPPER,1,2,8308.0,68.42242242242243,68.42242242242243
baseline,Baseline,INTARIAN_PEPPER_ROOT,PEPPER,1,3,7488.0,66.3923923923924,66.3923923923924
baseline,Baseline,INTARIAN_PEPPER_ROOT,PEPPER,1,4,7738.0,69.5691382765531,69.5691382765531
baseline,Baseline,INTARIAN_PEPPER_ROOT,PEPPER,1,5,8760.0,71.06513026052104,71.06513026052104
baseline,Baseline,INTARIAN_PEPPER_ROOT,PEPPER,1,6,8320.0,75.03517587939699,75.03517587939699
baseline,Baseline,INTARIAN_PEPPER_ROOT,PEPPER,1,7,7401.0,58.36436436436436,58.36436436436436
baseline,Baseline,INTARIAN_PEPPER_ROOT,PEPPER,1,8,7982.0,68.319,68.319
baseline,Baseline,INTARIAN_PEPPER_ROOT,PEPPER,1,9,8383.0,72.07,72.07
baseline,Baseline,INTARIAN_PEPPER_ROOT,PEPPER,1,10,8019.0,64.81281281281281,64.81281281281281
baseline,Baseline,TOTAL,TOTAL,-1,1,10235.0,,
baseline,Baseline,TOTAL,TOTAL,-1,2,10071.0,,
baseline,Baseline,TOTAL,TOTAL,-1,3,9725.0,,
baseline,Baseline,TOTAL,TOTAL,-1,4,10897.0,,
baseline,Baseline,TOTAL,TOTAL,-1,5,10879.0,,
baseline,Baseline,TOTAL,TOTAL,-1,6,10035.0,,
baseline,Baseline,TOTAL,TOTAL,-1,7,10584.0,,
baseline,Baseline,TOTAL,TOTAL,-1,8,10447.5,,
baseline,Baseline,TOTAL,TOTAL,-1,9,10045.5,,
baseline,Baseline,TOTAL,TOTAL,-1,10,10451.5,,
baseline,Baseline,TOTAL,TOTAL,0,1,10092.0,,
baseline,Baseline,TOTAL,TOTAL,0,2,10085.5,,
baseline,Baseline,TOTAL,TOTAL,0,3,9725.5,,
baseline,Baseline,TOTAL,TOTAL,0,4,10776.0,,
baseline,Baseline,TOTAL,TOTAL,0,5,10964.0,,
baseline,Baseline,TOTAL,TOTAL,0,6,9607.0,,
baseline,Baseline,TOTAL,TOTAL,0,7,10866.5,,
baseline,Baseline,TOTAL,TOTAL,0,8,10957.5,,
baseline,Baseline,TOTAL,TOTAL,0,9,10464.0,,
baseline,Baseline,TOTAL,TOTAL,0,10,10332.0,,
baseline,Baseline,TOTAL,TOTAL,1,1,9167.0,,
baseline,Baseline,TOTAL,TOTAL,1,2,10198.0,,
baseline,Baseline,TOTAL,TOTAL,1,3,9639.5,,
baseline,Baseline,TOTAL,TOTAL,1,4,10333.5,,
baseline,Baseline,TOTAL,TOTAL,1,5,11321.0,,
baseline,Baseline,TOTAL,TOTAL,1,6,10179.0,,
baseline,Baseline,TOTAL,TOTAL,1,7,9391.5,,
baseline,Baseline,TOTAL,TOTAL,1,8,10476.5,,
baseline,Baseline,TOTAL,TOTAL,1,9,10363.0,,
baseline,Baseline,TOTAL,TOTAL,1,10,10387.0,,
uniform_depth_125,Uniform depth +25%,ASH_COATED_OSMIUM,ASH,-1,1,2626.0,31.339679358717436,31.806613226452907
uniform_depth_125,Uniform depth +25%,ASH_COATED_OSMIUM,ASH,-1,2,2254.0,51.309309309309306,51.309309309309306
uniform_depth_125,Uniform depth +25%,ASH_COATED_OSMIUM,ASH,-1,3,2042.0,55.831,55.831
uniform_depth_125,Uniform depth +25%,ASH_COATED_OSMIUM,ASH,-1,4,2765.0,41.858575727181545,41.858575727181545
uniform_depth_125,Uniform depth +25%,ASH_COATED_OSMIUM,ASH,-1,5,2685.0,34.507,34.803
uniform_depth_125,Uniform depth +25%,ASH_COATED_OSMIUM,ASH,-1,6,1718.0,43.57630522088353,43.57630522088353
uniform_depth_125,Uniform depth +25%,ASH_COATED_OSMIUM,ASH,-1,7,2464.0,62.639,62.639
uniform_depth_125,Uniform depth +25%,ASH_COATED_OSMIUM,ASH,-1,8,2170.0,41.28256513026052,41.28256513026052
uniform_depth_125,Uniform depth +25%,ASH_COATED_OSMIUM,ASH,-1,9,2066.0,31.283567134268537,31.283567134268537
uniform_depth_125,Uniform depth +25%,ASH_COATED_OSMIUM,ASH,-1,10,2251.0,2.906906906906907,10.214214214214214
uniform_depth_125,Uniform depth +25%,ASH_COATED_OSMIUM,ASH,0,1,2493.0,25.900702106318956,26.933801404212637
uniform_depth_125,Uniform depth +25%,ASH_COATED_OSMIUM,ASH,0,2,2410.0,13.08316633266533,13.508016032064129
uniform_depth_125,Uniform depth +25%,ASH_COATED_OSMIUM,ASH,0,3,1957.0,53.386386386386384,53.386386386386384
uniform_depth_125,Uniform depth +25%,ASH_COATED_OSMIUM,ASH,0,4,2376.0,8.32865731462926,10.753507014028056
uniform_depth_125,Uniform depth +25%,ASH_COATED_OSMIUM,ASH,0,5,2577.0,-7.311311311311312,15.993993993993994
uniform_depth_125,Uniform depth +25%,ASH_COATED_OSMIUM,ASH,0,6,2289.0,12.498997995991983,14.308617234468938
uniform_depth_125,Uniform depth +25%,ASH_COATED_OSMIUM,ASH,0,7,1986.5,11.596,13.668
uniform_depth_125,Uniform depth +25%,ASH_COATED_OSMIUM,ASH,0,8,2847.5,10.326980942828486,12.264794383149448
uniform_depth_125,Uniform depth +25%,ASH_COATED_OSMIUM,ASH,0,9,2082.0,13.94188376753507,15.745490981963927
uniform_depth_125,Uniform depth +25%,ASH_COATED_OSMIUM,ASH,0,10,2512.0,-4.128,10.924
uniform_depth_125,Uniform depth +25%,ASH_COATED_OSMIUM,ASH,1,1,1985.0,15.557788944723619,21.214070351758792
uniform_depth_125,Uniform depth +25%,ASH_COATED_OSMIUM,ASH,1,2,1940.0,37.61584754262788,37.61584754262788
uniform_depth_125,Uniform depth +25%,ASH_COATED_OSMIUM,ASH,1,3,2108.0,64.58776328986961,64.58776328986961
uniform_depth_125,Uniform depth +25%,ASH_COATED_OSMIUM,ASH,1,4,2615.0,24.694388777555112,25.01503006012024
uniform_depth_125,Uniform depth +25%,ASH_COATED_OSMIUM,ASH,1,5,2652.0,10.972945891783567,16.271543086172343
uniform_depth_125,Uniform depth +25%,ASH_COATED_OSMIUM,ASH,1,6,1966.0,14.066,20.142
uniform_depth_125,Uniform depth +25%,ASH_COATED_OSMIUM,ASH,1,7,2049.5,10.051102204408817,13.582164328657315
uniform_depth_125,Uniform depth +25%,ASH_COATED_OSMIUM,ASH,1,8,2582.5,8.944889779559118,18.98496993987976
uniform_depth_125,Uniform depth +25%,ASH_COATED_OSMIUM,ASH,1,9,2089.0,10.125,10.585
uniform_depth_125,Uniform depth +25%,ASH_COATED_OSMIUM,ASH,1,10,2518.0,2.534603811434303,10.079237713139419
uniform_depth_125,Uniform depth +25%,INTARIAN_PEPPER_ROOT,PEPPER,-1,1,7794.0,73.5616850551655,73.5616850551655
uniform_depth_125,Uniform depth +25%,INTARIAN_PEPPER_ROOT,PEPPER,-1,2,7852.0,74.23169508525577,74.23169508525577
uniform_depth_125,Uniform depth +25%,INTARIAN_PEPPER_ROOT,PEPPER,-1,3,7863.0,71.926,71.926
uniform_depth_125,Uniform depth +25%,INTARIAN_PEPPER_ROOT,PEPPER,-1,4,8145.0,72.47241725175526,72.47241725175526
uniform_depth_125,Uniform depth +25%,INTARIAN_PEPPER_ROOT,PEPPER,-1,5,8230.0,72.92592592592592,72.92592592592592
uniform_depth_125,Uniform depth +25%,INTARIAN_PEPPER_ROOT,PEPPER,-1,6,8388.0,74.619,74.619
uniform_depth_125,Uniform depth +25%,INTARIAN_PEPPER_ROOT,PEPPER,-1,7,8143.0,70.1981981981982,70.1981981981982
uniform_depth_125,Uniform depth +25%,INTARIAN_PEPPER_ROOT,PEPPER,-1,8,8391.5,73.7987987987988,73.7987987987988
uniform_depth_125,Uniform depth +25%,INTARIAN_PEPPER_ROOT,PEPPER,-1,9,8083.5,73.575,73.575
uniform_depth_125,Uniform depth +25%,INTARIAN_PEPPER_ROOT,PEPPER,-1,10,8415.5,71.17317317317317,71.17317317317317
uniform_depth_125,Uniform depth +25%,INTARIAN_PEPPER_ROOT,PEPPER,0,1,7784.5,73.37975951903807,73.37975951903807
uniform_depth_125,Uniform depth +25%,INTARIAN_PEPPER_ROOT,PEPPER,0,2,7781.0,70.27254509018036,70.27254509018036
uniform_depth_125,Uniform depth +25%,INTARIAN_PEPPER_ROOT,PEPPER,0,3,7674.5,69.90180360721443,69.90180360721443
uniform_depth_125,Uniform depth +25%,INTARIAN_PEPPER_ROOT,PEPPER,0,4,8456.0,73.30630630630631,73.30630630630631
uniform_depth_125,Uniform depth +25%,INTARIAN_PEPPER_ROOT,PEPPER,0,5,8400.0,71.869,71.869
uniform_depth_125,Uniform depth +25%,INTARIAN_PEPPER_ROOT,PEPPER,0,6,7308.0,72.0160642570281,72.0160642570281
uniform_depth_125,Uniform depth +25%,INTARIAN_PEPPER_ROOT,PEPPER,0,7,8887.0,68.009,68.009
uniform_depth_125,Uniform depth +25%,INTARIAN_PEPPER_ROOT,PEPPER,0,8,8388.0,72.58216432865731,72.58216432865731
uniform_depth_125,Uniform depth +25%,INTARIAN_PEPPER_ROOT,PEPPER,0,9,8490.0,73.805,73.805
uniform_depth_125,Uniform depth +25%,INTARIAN_PEPPER_ROOT,PEPPER,0,10,8022.0,67.43316582914572,67.43316582914572
uniform_depth_125,Uniform depth +25%,INTARIAN_PEPPER_ROOT,PEPPER,1,1,7322.0,66.13440320962889,66.13440320962889
uniform_depth_125,Uniform depth +25%,INTARIAN_PEPPER_ROOT,PEPPER,1,2,8387.0,69.26326326326327,69.26326326326327
uniform_depth_125,Uniform depth +25%,INTARIAN_PEPPER_ROOT,PEPPER,1,3,7531.0,65.73273273273273,65.73273273273273
uniform_depth_125,Uniform depth +25%,INTARIAN_PEPPER_ROOT,PEPPER,1,4,7893.0,70.91182364729458,70.91182364729458
uniform_depth_125,Uniform depth +25%,INTARIAN_PEPPER_ROOT,PEPPER,1,5,8732.0,71.03807615230461,71.03807615230461
uniform_depth_125,Uniform depth +25%,INTARIAN_PEPPER_ROOT,PEPPER,1,6,8234.0,75.30050251256282,75.30050251256282
uniform_depth_125,Uniform depth +25%,INTARIAN_PEPPER_ROOT,PEPPER,1,7,7438.0,58.206206206206204,58.206206206206204
uniform_depth_125,Uniform depth +25%,INTARIAN_PEPPER_ROOT,PEPPER,1,8,8244.0,69.956,69.956
uniform_depth_125,Uniform depth +25%,INTARIAN_PEPPER_ROOT,PEPPER,1,9,8384.0,71.709,71.709
uniform_depth_125,Uniform depth +25%,INTARIAN_PEPPER_ROOT,PEPPER,1,10,7974.5,64.56756756756756,64.56756756756756
uniform_depth_125,Uniform depth +25%,TOTAL,TOTAL,-1,1,10420.0,,
uniform_depth_125,Uniform depth +25%,TOTAL,TOTAL,-1,2,10106.0,,
uniform_depth_125,Uniform depth +25%,TOTAL,TOTAL,-1,3,9905.0,,
uniform_depth_125,Uniform depth +25%,TOTAL,TOTAL,-1,4,10910.0,,
uniform_depth_125,Uniform depth +25%,TOTAL,TOTAL,-1,5,10915.0,,
uniform_depth_125,Uniform depth +25%,TOTAL,TOTAL,-1,6,10106.0,,
uniform_depth_125,Uniform depth +25%,TOTAL,TOTAL,-1,7,10607.0,,
uniform_depth_125,Uniform depth +25%,TOTAL,TOTAL,-1,8,10561.5,,
uniform_depth_125,Uniform depth +25%,TOTAL,TOTAL,-1,9,10149.5,,
uniform_depth_125,Uniform depth +25%,TOTAL,TOTAL,-1,10,10666.5,,
uniform_depth_125,Uniform depth +25%,TOTAL,TOTAL,0,1,10277.5,,
uniform_depth_125,Uniform depth +25%,TOTAL,TOTAL,0,2,10191.0,,
uniform_depth_125,Uniform depth +25%,TOTAL,TOTAL,0,3,9631.5,,
uniform_depth_125,Uniform depth +25%,TOTAL,TOTAL,0,4,10832.0,,
uniform_depth_125,Uniform depth +25%,TOTAL,TOTAL,0,5,10977.0,,
uniform_depth_125,Uniform depth +25%,TOTAL,TOTAL,0,6,9597.0,,
uniform_depth_125,Uniform depth +25%,TOTAL,TOTAL,0,7,10873.5,,
uniform_depth_125,Uniform depth +25%,TOTAL,TOTAL,0,8,11235.5,,
uniform_depth_125,Uniform depth +25%,TOTAL,TOTAL,0,9,10572.0,,
uniform_depth_125,Uniform depth +25%,TOTAL,TOTAL,0,10,10534.0,,
uniform_depth_125,Uniform depth +25%,TOTAL,TOTAL,1,1,9307.0,,
uniform_depth_125,Uniform depth +25%,TOTAL,TOTAL,1,2,10327.0,,
uniform_depth_125,Uniform depth +25%,TOTAL,TOTAL,1,3,9639.0,,
uniform_depth_125,Uniform depth +25%,TOTAL,TOTAL,1,4,10508.0,,
uniform_depth_125,Uniform depth +25%,TOTAL,TOTAL,1,5,11384.0,,
uniform_depth_125,Uniform depth +25%,TOTAL,TOTAL,1,6,10200.0,,
uniform_depth_125,Uniform depth +25%,TOTAL,TOTAL,1,7,9487.5,,
uniform_depth_125,Uniform depth +25%,TOTAL,TOTAL,1,8,10826.5,,
uniform_depth_125,Uniform depth +25%,TOTAL,TOTAL,1,9,10473.0,,
uniform_depth_125,Uniform depth +25%,TOTAL,TOTAL,1,10,10492.5,,
front_bias_depth_25,Front-biased depth +25%,ASH_COATED_OSMIUM,ASH,-1,1,2750.0,35.60320641282565,36.29258517034068
front_bias_depth_25,Front-biased depth +25%,ASH_COATED_OSMIUM,ASH,-1,2,2290.0,58.63563563563564,58.63563563563564
front_bias_depth_25,Front-biased depth +25%,ASH_COATED_OSMIUM,ASH,-1,3,2130.0,52.547,52.547
front_bias_depth_25,Front-biased depth +25%,ASH_COATED_OSMIUM,ASH,-1,4,2765.0,36.84553660982949,36.84553660982949
front_bias_depth_25,Front-biased depth +25%,ASH_COATED_OSMIUM,ASH,-1,5,2798.0,28.291,29.457
front_bias_depth_25,Front-biased depth +25%,ASH_COATED_OSMIUM,ASH,-1,6,1785.0,37.12951807228916,37.12951807228916
front_bias_depth_25,Front-biased depth +25%,ASH_COATED_OSMIUM,ASH,-1,7,2474.0,59.93,59.93
front_bias_depth_25,Front-biased depth +25%,ASH_COATED_OSMIUM,ASH,-1,8,2257.0,37.05511022044088,37.05511022044088
front_bias_depth_25,Front-biased depth +25%,ASH_COATED_OSMIUM,ASH,-1,9,2150.0,33.065130260521045,33.065130260521045
front_bias_depth_25,Front-biased depth +25%,ASH_COATED_OSMIUM,ASH,-1,10,2322.0,2.881881881881882,11.508508508508509
front_bias_depth_25,Front-biased depth +25%,ASH_COATED_OSMIUM,ASH,0,1,2616.0,29.204613841524573,30.55466399197593
front_bias_depth_25,Front-biased depth +25%,ASH_COATED_OSMIUM,ASH,0,2,2477.0,15.937875751503006,16.01002004008016
front_bias_depth_25,Front-biased depth +25%,ASH_COATED_OSMIUM,ASH,0,3,1922.0,51.370370370370374,51.370370370370374
front_bias_depth_25,Front-biased depth +25%,ASH_COATED_OSMIUM,ASH,0,4,2429.0,4.307615230460922,8.972945891783567
front_bias_depth_25,Front-biased depth +25%,ASH_COATED_OSMIUM,ASH,0,5,2588.0,-5.2592592592592595,17.35135135135135
